# Version 1.00
#
freq[Hz],Trc1_S11[dB],Trc2_S21[dB],Trc3_S22[dB],
8.000000000000000E+009,-3.734883572125222E+000,-1.196483622061470E+001,-8.061390170200360E+000,
8.050000000000000E+009,-3.612886172271222E+000,-1.211924217682365E+001,-8.283758251383715E+000,
8.100000000000000E+009,-3.616490904612566E+000,-1.248451749794717E+001,-8.321962474844497E+000,
8.150000000000000E+009,-3.970981533473093E+000,-1.229239037700485E+001,-7.822956974790753E+000,
8.200000000000000E+009,-4.710900251629315E+000,-1.195163350181746E+001,-7.990823471882783E+000,
8.250000000000000E+009,-5.956234903148439E+000,-1.169732623914125E+001,-7.525750861818800E+000,
8.300000000000000E+009,-6.158276061586689E+000,-1.201209176198638E+001,-7.410315817926868E+000,
8.350000000000000E+009,-4.970859559193851E+000,-1.388732068345746E+001,-7.447827300500598E+000,
8.400000000000000E+009,-3.864692237835362E+000,-1.507636285554905E+001,-6.863109011135748E+000,
8.450000000000000E+009,-3.147637442977189E+000,-1.682402372786381E+001,-5.039758359771918E+000,
8.500000000000000E+009,-2.633707082685379E+000,-1.693200312007589E+001,-5.917073568847822E+000,
8.550000000000000E+009,-2.413704591749180E+000,-1.596585447351535E+001,-7.622343146789664E+000,
8.600000000000000E+009,-2.300782412708875E+000,-1.555504741498671E+001,-8.034833465298815E+000,
8.650000000000000E+009,-2.457057814569138E+000,-1.449312031252841E+001,-8.705748757762835E+000,
8.700000000000000E+009,-2.860567943811550E+000,-1.321096408658603E+001,-1.015091480834925E+001,
8.750000000000000E+009,-3.555421133555878E+000,-1.251985255660106E+001,-9.861417657034583E+000,
8.800000000000000E+009,-4.784758685426098E+000,-1.265194291654218E+001,-8.393900910988478E+000,
8.850000000000000E+009,-5.710019173659384E+000,-1.350960465718320E+001,-6.899075832633502E+000,
8.900000000000000E+009,-5.337114802001700E+000,-1.588880338614092E+001,-4.758077763627393E+000,
8.950000000000000E+009,-4.209604189091152E+000,-1.983390030446029E+001,-2.727771672184910E+000,
9.000000000000000E+009,-2.909825144335407E+000,-4.423844902055824E+001,-5.559316439895519E-001,
9.050000000000000E+009,-2.262963997972896E+000,-6.312719376121828E+001,-3.676734019059474E-001,
9.100000000000000E+009,-1.845415299845002E+000,-6.573359092801957E+001,-3.461912439032935E-001,
9.150000000000000E+009,-1.454821660066969E+000,-6.771224109044599E+001,-4.208874043341166E-001,
9.200000000000000E+009,-1.380938096456411E+000,-5.303772889555428E+001,-4.397152007515056E-001,
9.250000000000000E+009,-1.836131118869126E+000,-2.223386811048616E+001,-2.344073780371882E+000,
9.300000000000000E+009,-2.501289624708820E+000,-2.100581581306449E+001,-2.473594385418694E+000,
9.350000000000000E+009,-3.596232700561825E+000,-2.351736689780712E+001,-1.474176774772181E+000,
9.400000000000000E+009,-6.482039722340851E+000,-2.672207543112396E+001,-1.111700017333157E+000,
9.450000000000000E+009,-8.904140854637083E+000,-2.581358466934357E+001,-1.258369014766472E+000,
9.500000000000000E+009,-6.591369244303028E+000,-2.498795252698410E+001,-1.729643867484579E+000,
9.550000000000000E+009,-4.750426062108279E+000,-2.275027350241750E+001,-2.664210236913955E+000,
9.600000000000000E+009,-3.763291002966077E+000,-2.021597636300733E+001,-4.608774896444131E+000,
9.650000000000000E+009,-3.106311736694667E+000,-1.894146313891483E+001,-6.333607887590961E+000,
9.700000000000000E+009,-2.464344969057459E+000,-2.035263427864303E+001,-5.843091603811419E+000,
9.750000000000000E+009,-2.139453258328306E+000,-2.067496041587504E+001,-5.188343970505017E+000,
9.800000000000000E+009,-2.067105727648097E+000,-2.194457138604092E+001,-3.657584031483358E+000,
9.850000000000000E+009,-1.896281396940204E+000,-2.467695564522023E+001,-2.193586063507203E+000,
9.900000000000000E+009,-3.327280750304489E+000,-2.414186040557881E+001,-1.491820271635751E+000,
9.950000000000000E+009,-9.225894681485586E+000,-2.267862322127883E+001,-1.747284230473384E+000,
1.000000000000000E+010,-7.774873545669638E+000,-2.226911547188333E+001,-2.807184842720683E+000,
1.005000000000000E+010,-5.551113578339819E+000,-2.224826577022562E+001,-4.033590397784104E+000,
1.010000000000000E+010,-4.776438450402761E+000,-2.300969450077215E+001,-5.135951602813850E+000,
1.015000000000000E+010,-4.489732856064292E+000,-2.336032156572517E+001,-6.272178947590573E+000,
1.020000000000000E+010,-4.417833036214324E+000,-2.364804635302789E+001,-6.333077061328043E+000,
1.025000000000000E+010,-4.521042005444535E+000,-2.208459828723718E+001,-6.802570511658736E+000,
1.030000000000000E+010,-4.837528928463659E+000,-1.928213995722422E+001,-7.317785811549299E+000,
1.035000000000000E+010,-4.791147246180984E+000,-1.599336982470002E+001,-6.815765547452851E+000,
1.040000000000000E+010,-3.475998406754021E+000,-1.379527358965105E+001,-6.203188257222526E+000,
1.045000000000000E+010,-2.815930339753034E+000,-1.422035016896215E+001,-5.659908137714877E+000,
1.050000000000000E+010,-2.911622717962492E+000,-1.577564987653930E+001,-5.098817472269170E+000,
1.055000000000000E+010,-3.231202958550984E+000,-1.645834708203986E+001,-5.528833872713052E+000,
1.060000000000000E+010,-3.819154917528949E+000,-1.574674843410758E+001,-6.877637769327563E+000,
1.065000000000000E+010,-4.742488437777552E+000,-1.457584427733683E+001,-8.356838152408429E+000,
1.070000000000000E+010,-6.265003323929379E+000,-1.294777200067923E+001,-9.674018919303185E+000,
1.075000000000000E+010,-9.195079846708303E+000,-1.144832745709605E+001,-9.609927088791947E+000,
1.080000000000000E+010,-1.662485957325025E+001,-9.740118043055958E+000,-9.760963413865737E+000,
1.085000000000000E+010,-1.461055019215566E+001,-9.139122514440148E+000,-8.120437532114332E+000,
1.090000000000000E+010,-8.006718772472397E+000,-9.608948772863469E+000,-6.686274607813683E+000,
1.095000000000000E+010,-5.298129922110753E+000,-1.064431388478134E+001,-5.705091214393398E+000,
1.100000000000000E+010,-4.393506521448198E+000,-1.172522947051050E+001,-5.379738382630209E+000,
1.105000000000000E+010,-4.172219339378387E+000,-1.248247253963663E+001,-5.469362148434698E+000,
1.110000000000000E+010,-4.617336883837594E+000,-1.194848334909015E+001,-6.591897802477599E+000,
1.115000000000000E+010,-5.515807234923583E+000,-1.160458979380621E+001,-7.221586896412830E+000,
1.120000000000000E+010,-7.291827491023070E+000,-1.061008180437276E+001,-7.725843837270674E+000,
1.125000000000000E+010,-1.056355331112597E+001,-9.479304703555206E+000,-8.655233841936612E+000,
1.130000000000000E+010,-1.639946721951246E+001,-8.967188465663623E+000,-8.157050140892258E+000,
1.135000000000000E+010,-1.691442591584318E+001,-8.770066996010202E+000,-7.087897773345571E+000,
1.140000000000000E+010,-1.097800108627959E+001,-9.594224724493472E+000,-6.098845732505510E+000,
1.145000000000000E+010,-8.143633160752353E+000,-1.025322202373973E+001,-5.268046479182579E+000,
1.150000000000000E+010,-6.423211398942312E+000,-1.188267335608129E+001,-4.634299808132487E+000,
1.155000000000000E+010,-5.202657793482064E+000,-1.454681448081263E+001,-3.242978106019120E+000,
1.160000000000000E+010,-5.354087004322438E+000,-1.540717925391221E+001,-3.267919191959428E+000,
1.165000000000000E+010,-4.811222119226477E+000,-1.807871683502182E+001,-2.720491688409192E+000,
1.170000000000000E+010,-4.908357177570030E+000,-1.835402380201176E+001,-3.205604021340787E+000,
1.175000000000000E+010,-5.857643732614596E+000,-1.522742743365014E+001,-4.497459844499437E+000,
1.180000000000000E+010,-7.188184594450065E+000,-1.288330943352975E+001,-5.478273478165908E+000,
1.185000000000000E+010,-9.000409606794420E+000,-1.118570820687090E+001,-6.574394723291912E+000,
1.190000000000000E+010,-9.055921516220154E+000,-1.065895031095901E+001,-6.471892127859548E+000,
1.195000000000000E+010,-8.205364934332289E+000,-1.039777518665674E+001,-6.588854439387778E+000,
1.200000000000000E+010,-6.472853465092673E+000,-1.115892169845979E+001,-6.046119787906459E+000,
1.205000000000000E+010,-5.529480674412566E+000,-1.145730298595872E+001,-5.771146623465508E+000,
1.210000000000000E+010,-5.276624106905720E+000,-1.126996962884101E+001,-6.421618120487630E+000,
1.215000000000000E+010,-5.050067663955156E+000,-1.149158285452841E+001,-6.679924681402350E+000,
1.220000000000000E+010,-5.648319577986157E+000,-1.052749473019049E+001,-7.532546761532204E+000,
1.225000000000000E+010,-6.474712717233311E+000,-1.009421794605312E+001,-8.121948463673419E+000,
1.230000000000000E+010,-7.483060475647780E+000,-9.873979296239067E+000,-7.973461690480888E+000,
1.235000000000000E+010,-9.373602492503407E+000,-9.119830996711466E+000,-8.523873400493288E+000,
1.240000000000000E+010,-1.082794938369119E+001,-9.025269546902225E+000,-7.965208167545765E+000,
1.245000000000000E+010,-1.120456828782001E+001,-9.234326494683694E+000,-6.845403358468750E+000,
1.250000000000000E+010,-1.067771400267729E+001,-9.199507860120390E+000,-7.374576124863634E+000,
1.255000000000000E+010,-9.595756187996184E+000,-9.643808973720986E+000,-6.092042277276194E+000,
1.260000000000000E+010,-9.544492789260573E+000,-9.415184175642906E+000,-6.772497303917216E+000,
1.265000000000000E+010,-8.914417152864576E+000,-9.635788420908597E+000,-6.548175358461090E+000,
1.270000000000000E+010,-9.912190373243982E+000,-9.135984718314473E+000,-7.006668407868983E+000,
1.275000000000000E+010,-1.074610333833976E+001,-8.997267444936055E+000,-7.148688037593516E+000,
1.280000000000000E+010,-1.220726525847441E+001,-9.052011550232386E+000,-6.771173753522440E+000,
